species_id,aou,english_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
292,21930,Purple Swamphen,Gruiformes,Rallidae,Porphyrio,porphyrio,1091,94.9,m,melanotis,Australia,NA,NA,NA,NA,NA,NA,NA
292,21930,Purple Swamphen,Gruiformes,Rallidae,Porphyrio,porphyrio,885,98.5,f,melanotis,Australia,NA,NA,NA,NA,NA,NA,NA
292,21930,Purple Swamphen,Gruiformes,Rallidae,Porphyrio,porphyrio,869,71.3,m,porphyrio,Spain,NA,NA,NA,NA,NA,NA,NA
292,21930,Purple Swamphen,Gruiformes,Rallidae,Porphyrio,porphyrio,724,78.7,f,porphyrio,Spain,NA,NA,NA,NA,NA,NA,NA
292,21930,Purple Swamphen,Gruiformes,Rallidae,Porphyrio,porphyrio,636,NA,m,madagascariensis,NA,NA,NA,NA,NA,NA,NA,NA
292,21930,Purple Swamphen,Gruiformes,Rallidae,Porphyrio,porphyrio,556,NA,f,madagascariensis,NA,NA,NA,NA,NA,NA,NA,NA
659,3380,(Harlan's Hawk) Red-tailed Hawk,Accipitriformes,Accipitridae,Buteo,jamaicensis harlani,NA,NA,NA,NA,NA,NA,NA,1,Buteo,jamaicensis,NA,"Harlan's hawk is a subspecies of red-tailed hawk, so use the same set of records"
758,4120,(Yellow-shafted Flicker) Northern Flicker,Piciformes,Picidae,Colaptes,auratus auratus,,,,,,NA,NA,1,Colaptes,auratus,NA,Use general case.
759,4130,(Red-shafted Flicker) Northern Flicker,Piciformes,Picidae,Colaptes,auratus cafer,,,,,,,NA,1,Colaptes,auratus,NA,Use general case.
760,4125,hybrid Northern Flicker (Red x Yellow-shafted),Piciformes,Picidae,Colaptes,auratus auratus x auratus cafer,NA,NA,NA,NA,NA,NA,NA,1,Colaptes,auratus,NA,Use general case.
806,3826,Red-crowned Parrot,Psittaciformes,Psittacidae,Amazona,viridigenalis,316,NA,NA,NA,captive,NA,NA,NA,NA,NA,NA,NA
813,3823,Rose-ringed Parakeet,Psittaciformes,Psittaculidae,Psittacula,krameri,126,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
813,3823,Rose-ringed Parakeet,Psittaciformes,Psittaculidae,Psittacula,krameri,107,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
859,4411,Rose-throated Becard,Passeriformes,Tityridae,Pachyramphus,aglaiae,29.5,NA,NA,albiventris,Western Mexico,NA,NA,NA,NA,NA,NA,NA
859,4411,Rose-throated Becard,Passeriformes,Tityridae,Pachyramphus,aglaiae,30,NA,NA,yucatanensis,"Yucatan, Mexico",NA,NA,NA,NA,NA,NA,NA
908,4420,Fork-tailed Flycatcher,Passeriformes,Tyrannidae,Tyrannus,savana,31.9,NA,NA,NA,Suriname,NA,NA,NA,NA,NA,NA,NA
934,4700,Buff-breasted Flycatcher,Passeriformes,Tyrannidae,Empidonax,fulvifrons,7.9,0.7,NA,NA,Mexico,NA,NA,NA,NA,NA,NA,NA
